product_id,product_name,carbon_impact,energy_impact,water_impact,waste_generated_kg
P001,Reinforced Concrete,1050,4690,150200,2625
P002,Structural Steel Beam,1850,12870,90230,525
P003,Engineered Wood Beam,300,1205,8100,105
P004,Clay Brick,11,72,112,2.75
P005,Glass Panel,800,3850,10115,52.5
P006,Copper Wire,540,2585,5060,10.5
P007,Aluminum Cladding,432,845,4872,21
P008,Insulation Board,225,125,48,15.75
P009,Plastic Pipe,175,95,35,5.25
P010,Cement Block,158,408,2530,21
P011,Steel Rebar,470,2800,18160,105
P012,Wood Flooring,130,628,4050,52.5
P013,Glass Window,640,3080,8092,42
P014,Copper Pipe,432,2067,4048,8.4
P015,Mineral Wool Insulation,140,100,38,12.6
P016,Concrete Block,6.3,86,912,15.75
P017,Clay Roof Tile,8.8,57.5,89.6,2.2
P018,Aluminum Window Frame,94.5,635,3654,15.75
P019,Steel Roof Panel,376,2245,14528,84
P020,Wood Stud,78,392,2430,31.5
